ID,SMILES
306,C=C(C(=O)O)OC1C=C(C=CC1O)C(=O)O
12039,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O
5460312,C=C(C(=O)[O-])O[C@@H]1C=C(C=C[C@H]1O)C(=O)[O-]
10680903,C=C(C(=O)O)[18O][C@@H]1C=C(C=C[C@H]1O)[13C](=O)O
10751803,C=C(C(=O)O)O[C@@H]1C=[13C](C=C[C@H]1O)[13C](=O)O
11086296,COC(=O)C1=C[C@H]([C@@H](C=C1)O)OC(=C)C(=O)OC
13257072,C=C(C(=O)[O-])OC1C=C(C=CC1O)C(=O)[O-]
16219080,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O.[Ba]
24962614,CC(C)OC(=O)/C=C/C1=COC(=CC1=O)C(=O)O
44123452,C=C(C(=O)O)O[C@H]1CCC=CC(=C1)C(=O)O
44329975,C=C(C(=O)[O-])O[C@@H]1C=CC=C[C@H]1O.[Na+]
44329976,C=C(C(=O)O)O[C@@H]1C=CC=C[C@H]1O
54448451,C=C(C(=O)O)O[C@H]1C=C(C=C[C@@H]1O)C(=O)O
57759058,C=C(C(=O)[O-])OC1C=C(C=C[C@H]1O)C(=O)[O-]
57759059,C=C(C(=O)O)OC1C=C(C=C[C@H]1O)C(=O)O
59477064,CC1C=CC(=CC1OC(=C)C(=O)O)C(=O)O
59477066,CC1=C(C=CCC1OC(=C)C(=O)O)C(=O)O
66679548,C=C(C(=O)O)OC1CC=CC(=C1)C(=O)O
67149829,C1C(C(=CC=C1/C=C/C(=O)OCC(=O)O)O)O
70627842,CC1C=C(C=C(O1)C(=O)O)C(=O)O
70657798,C=C(C(=O)O)O[C@@H]1C=C(C=CC1O)C(=O)O
74374535,CC(C)OC(=O)C=CC1=COC(=CC1=O)C(=O)O
88700420,C1=CC(=CC2=CC3C(=CC=C(O3)C(=O)O)C=C21)C(=O)O
88700862,C1=CC(=CC2=CC3=CC=C(OC3C=C21)C(=O)O)C(=O)O
89165212,C=C(C=O)OC1C=C(C=C[C@H]1O)C=O
89197328,CCOC(=O)C(=C)OC1C=C(C=CC1O)C(=O)O
89936619,C1=CC(=C[C@H]([C@@H]1O)OC(=O)C(=O)O)C(=O)O
90145918,CCOC(=O)C1=CC(C(C=C1)O)OC(=C)C(=O)O
90473446,C=C(C(=O)[O-])O[C@@H]1C=C(C=C[C@H]1O)C(=O)[O-].[Ba+2]
101035447,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)[12C](=O)O
101072171,C=C(C(=O)[O-])O[C@@H]1C=C(C=C[C@H]1O)C(=O)[O-].[Ba+2]
101931542,C=C(C(=O)O)O[C@H]1[C@@H](C=CC(=C1F)C(=O)O)O
102515144,C1=C(C(=O)OC(=C1)C(=O)[O-])/C=C/CO
102515145,C1=C(C(=O)OC(=C1)C(=O)O)/C=C/CO
118797439,C=C(C(=O)[O-])OC1C=C(C=CC1O)C(=O)[O-].[Ba+2]
138623598,COC1C=C(C=CC1O)C(=O)O
139992404,C1=CC(=C(OC1C(=O)O)C(=O)O)C(=O)O
141076116,C1=CC(C(=C=O)C=C1)OC(=O)COC(=O)/C=C\C(=O)O
141076156,C1=CC(C(=C=O)C=C1)OC(=O)COC(=O)/C=C/C(=O)O
142110891,C1=CC(=C[C@H]([C@@H]1O)OC(=C(F)F)C(=O)O)C(=O)O
144590668,COC1C=C(C=CC1O)C(=O)OC
146226013,CC(C(=O)O)OC(=O)/C=C/C1=CCCC=C1
146226015,CC(C(=O)O)OC(=O)C=CC1=CCCC=C1
150972446,C1=COC(C=C1C(=O)O)C(=O)O
152762477,CC1C=CC(=CC1OC(=C)C(=O)O)C(=O)[O-]
152762478,C=C(C(=O)O)OC1CC=CC(=C1)C(=O)[O-]
154496778,C1C=CC(=C([C@H]1OC(=O)C(=O)O)O)C(=O)O
156542946,C=CO[C@@H]1C=C(C=C[C@H]1O)C(=O)O
162821403,C1C=CC(=C(C1OC(=O)C(=O)O)O)C(=O)O
164132417,C=C(C(=O)O)OC1C=C(C(=CC1O)I)C(=O)O
