ID,ST_SMILES
306,C=C(OC1C=C(C(=O)O)C=CC1O)C(=O)O
12039,C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O
5460312,C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O
10680903,C=C([18O][C@@H]1C=C([13C](=O)O)C=C[C@H]1O)C(=O)O
10751803,C=C(O[C@@H]1C=[13C]([13C](=O)O)C=C[C@H]1O)C(=O)O
11086296,C=C(O[C@@H]1C=C(C(=O)OC)C=C[C@H]1O)C(=O)OC
13257072,C=C(OC1C=C(C(=O)O)C=CC1O)C(=O)O
16219080,C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O
24962614,CC(C)OC(=O)/C=C/c1coc(C(=O)O)cc1=O
44123452,C=C(O[C@@H]1C=C(C(=O)O)C=CCC1)C(=O)O
44329975,C=C(O[C@@H]1C=CC=C[C@H]1O)C(=O)O
44329976,C=C(O[C@@H]1C=CC=C[C@H]1O)C(=O)O
54448451,C=C(O[C@H]1C=C(C(=O)O)C=C[C@@H]1O)C(=O)O
57759058,C=C(OC1C=C(C(=O)O)C=C[C@H]1O)C(=O)O
57759059,C=C(OC1C=C(C(=O)O)C=C[C@H]1O)C(=O)O
59477064,C=C(OC1C=C(C(=O)O)C=CC1C)C(=O)O
59477066,C=C(OC1CC=CC(C(=O)O)=C1C)C(=O)O
66679548,C=C(OC1C=C(C(=O)O)C=CC1)C(=O)O
67149829,O=C(O)COC(=O)/C=C/C1=CCC(=O)C(O)C1
70627842,CC1C=C(C(=O)O)C=C(C(=O)O)O1
70657798,C=C(O[C@@H]1C=C(C(=O)O)C=CC1O)C(=O)O
74374535,CC(C)OC(=O)C=Cc1coc(C(=O)O)cc1=O
88700420,O=C(O)C1=CC=C2C=c3ccc(C(=O)O)cc3=CC2O1
88700862,O=C(O)C1=CC=C2C=c3cc(C(=O)O)ccc3=CC2O1
89165212,C=C(C=O)OC1C=C(C=O)C=C[C@H]1O
89197328,C=C(OC1C=C(C(=O)O)C=CC1O)C(=O)OCC
89936619,O=C(O)C(=O)O[C@@H]1C=C(C(=O)O)C=C[C@H]1O
90145918,C=C(OC1C=C(C(=O)OCC)C=CC1O)C(=O)O
90473446,C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O
101035447,C=C(O[C@@H]1C=C([12C](=O)O)C=C[C@H]1O)C(=O)O
101072171,C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O
101931542,C=C(O[C@@H]1C(F)=C(C(=O)O)C=C[C@H]1O)C(=O)O
102515144,O=C(O)c1ccc(/C=C/CO)c(=O)o1
102515145,O=C(O)c1ccc(/C=C/CO)c(=O)o1
118797439,C=C(OC1C=C(C(=O)O)C=CC1O)C(=O)O
138623598,COC1C=C(C(=O)O)C=CC1O
139992404,O=C(O)C1=C(C(=O)O)OC(C(=O)O)C=C1
141076116,O=C=C1C=CC=CC1OC(=O)COC(=O)/C=C\C(=O)O
141076156,O=C=C1C=CC=CC1OC(=O)COC(=O)/C=C/C(=O)O
142110891,O=C(O)C1=C[C@@H](OC(C(=O)O)=C(F)F)[C@H](O)C=C1
144590668,COC(=O)C1=CC(OC)C(O)C=C1
146226013,CC(OC(=O)/C=C/C1=CCCC=C1)C(=O)O
146226015,CC(OC(=O)C=CC1=CCCC=C1)C(=O)O
150972446,O=C(O)C1=CC(C(=O)O)OC=C1
152762477,C=C(OC1C=C(C(=O)O)C=CC1C)C(=O)O
152762478,C=C(OC1C=C(C(=O)O)C=CC1)C(=O)O
154496778,O=C(O)C(=O)O[C@H]1CC=CC(C(=O)O)C1=O
156542946,C=CO[C@@H]1C=C(C(=O)O)C=C[C@H]1O
162821403,O=C(O)C(=O)OC1CC=CC(C(=O)O)C1=O
164132417,C=C(OC1C=C(C(=O)O)C(I)=CC1O)C(=O)O
