SMILES,ID
[OC1C=CC(=CC1OC(=C)C([O-])=O)C([O-])=O,1
 OC1C=CC(O)C(O)C1O,2
 OC1C(O)C(O)C(O)C(O)C1O,3
 BrC(Br)Br,4
 CC(C)O,5
 ClC(Cl)=C,6
 FC(F)=C,7
 CC(C)Br,8
 CC1=C(C)C(O)C=CC1O,9
 [NH3+]C1C=CC(O)C(O)C1O,10
 OC1C=CC(OC2C=CC(O)C(O)C2O)C(O)C1O,11
 OC1C=CC=CC1OC(=C)C([O-])=O,12
 C1=CC=CC=C1,13
 OCl,14
 OCCO,15
 BrC(Br)C(Br)Br,16
 CC(O)C(C)O,17
 OC1C(O)C(F)C(O)C(O)C1F,18
 OCC(O)C(O)CO,19
 OCC(O)CO,20
 OC1C(O)C(O)C(F)C(O)C1O,21
 CCC(O)CC,22
 [NH3+]C(CO)(CO)CO,23
 [NH3+]CC(O)C[NH3+],24
 CC(O)CO,25
 [NH3+]C(CO)CO,26
 [NH3+]C1C(O)C(O)C(O)C1O,27
 [NH3+]C1C(O)C(O)C(O)C(O)C1O,28
 COC1C(O)C(O)C(OC)C(O)C1O,29
 OCC1C(O)C(O)C(O)C(O)C1O,30
 O=O,31
 CC1OC(=O)C=CC1O,32
 OB(O)O,33
 COC,34
 IC(I)I,35
 C[PH+](C)C,36
 C[NH2+]C,37
 ClC(Cl)Cl,38
 C=C=C,39
 CC(C)C,40
 CSC,41
 [S-]C([S-])=S,42
 CCO,43
 CC(C)S,44
 O[V](O)(O)=O,45
 CC(C)[NH3+],46
 ON=C,47
 CC=C,48
 ClC(Br)Br,49
 ClC(Cl)Br,50
 OC=C,51
 O=C1C=CC(=O)C=C1,52
 OC1=CC=C(O)C=C1,53
 [NH3+]CCO,54
 CC(C)C(C)O,55
 OC(Cl)C(Cl)Cl,56
 OC1=CC(O)=CC(O)=C1,57
 NC1=CC(N)=C(N)C=C1N,58
 NC1=CC=C(N)C=C1,59
 NC1=CC(N)=CC(N)=C1,60
 OC1CC(O)C(O)CC1O,61
 OOP([O-])([O-])=O,62
 OCC(O)C(O)C(O)CO,63
 OC1C(O)C(O)C(OC2C(O)C(O)C(O)C(O)C2O)C(O)C1O,64
 CC([NH3+])CO,65
 CC(O)CCl,66
 CC(O)C[NH3+],67
 OCC(O)C(O)C(O)C(O)CO,68
 CC(=C)CCl,69
 ON=C1C=CC(C=C1)=NO,70
 COC1C(O)C(O)C(O)C(O)C1OC,71
 COC1C(O)C(O)C(O)C(O)C1O,72
 OC1C(O)C(O)C(=C)C(O)C1O,73
 CC(C)(C)C1=CC=C(C(O)=C1O)C(C)(C)C,74
 OC(O)C(=O)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)C(O)O,75
 OC1C=CC(OC2C(O)C=CC(O)C2O)C(O)C1O,76
 BrC1=C(Br)C(Br)=C(Br)C(Br)=C1Br,77
 ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,78
 ClC(Cl)=C(Cl)Cl,79
 FC(F)=C(F)F,80
 ClC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,81
 CC1=C(C)C(C)=C(C)C(C)=C1C,82
 CCCC,83
 BrC1C(Br)C(Br)C(Br)C(Br)C1Br,84
 ClC(Cl)C(Cl)Cl,85
 C=CC=C,86
 CC(C)C(C)C,87
 CSSC,88
 [O-]C(=O)C([O-])=O,89
 OCCCCO,90
 OCCCO,91
 CCCO,92
 OC1C(O)C(Cl)C(O)C(O)C1Cl,93
 OC1CCC1,94
 OC1CCCC1O,95
 OC(O)C(Cl)(Cl)Cl,96
 OCC(Cl)Cl,97
 CC(C)CO,98
 CC(C)C(O)C(C)C,99
 OC1CCCCC1O],100
