ID,ST_SMILES
4,"CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
"
8,"O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
"
9,"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
"
17,"NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
"
26,"CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
"
31,"COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
"
32,"COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
"
38,"CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
"
41,"CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
"
43,"COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
"
49,"O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
"
50,"O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
"
55,"N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
"
61,"COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
"
65,"CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
"
67,"COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O
"
71,"CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
"
80,"C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
"
81,"O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
"
83,"CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
"
84,"CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1
"
99,"CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1
"
105,"CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12
"
107,"COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
"
114,"CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1
"
115,"CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
"
116,"CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
"
158,"C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O
"
161,"CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1
"
163,"CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1
"
169,"C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12
"
