ST_SMILES,AFFINITY
C=C(OC1C=C(C(=O)O)C=CC1O)C(=O)O,-6.8
C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O,-6.9
C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O,-6.8
C=C([18O][C@@H]1C=C([13C](=O)O)C=C[C@H]1O)C(=O)O,-7.0
C=C(O[C@@H]1C=[13C]([13C](=O)O)C=C[C@H]1O)C(=O)O,-6.9
C=C(O[C@@H]1C=C(C(=O)OC)C=C[C@H]1O)C(=O)OC,-6.7
C=C(OC1C=C(C(=O)O)C=CC1O)C(=O)O,-6.9
C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O,-6.9
CC(C)OC(=O)/C=C/c1coc(C(=O)O)cc1=O,-6.3
C=C(O[C@@H]1C=C(C(=O)O)C=CCC1)C(=O)O,-6.8
C=C(O[C@@H]1C=CC=C[C@H]1O)C(=O)O,-5.9
C=C(O[C@@H]1C=CC=C[C@H]1O)C(=O)O,-6.0
C=C(O[C@H]1C=C(C(=O)O)C=C[C@@H]1O)C(=O)O,-6.7
C=C(OC1C=C(C(=O)O)C=C[C@H]1O)C(=O)O,-6.9
C=C(OC1C=C(C(=O)O)C=C[C@H]1O)C(=O)O,-6.7
C=C(OC1C=C(C(=O)O)C=CC1C)C(=O)O,-6.7
C=C(OC1CC=CC(C(=O)O)=C1C)C(=O)O,-6.2
C=C(OC1C=C(C(=O)O)C=CC1)C(=O)O,-6.6
O=C(O)COC(=O)/C=C/C1=CCC(=O)C(O)C1,-6.7
CC1C=C(C(=O)O)C=C(C(=O)O)O1,-6.2
C=C(O[C@@H]1C=C(C(=O)O)C=CC1O)C(=O)O,-6.8
CC(C)OC(=O)C=Cc1coc(C(=O)O)cc1=O,-6.5
O=C(O)C1=CC=C2C=c3ccc(C(=O)O)cc3=CC2O1,-8.2
O=C(O)C1=CC=C2C=c3cc(C(=O)O)ccc3=CC2O1,-8.1
C=C(C=O)OC1C=C(C=O)C=C[C@H]1O,-6.1
C=C(OC1C=C(C(=O)O)C=CC1O)C(=O)OCC,-6.7
O=C(O)C(=O)O[C@@H]1C=C(C(=O)O)C=C[C@H]1O,-6.7
C=C(OC1C=C(C(=O)OCC)C=CC1O)C(=O)O,-6.7
C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O,-6.8
C=C(O[C@@H]1C=C([12C](=O)O)C=C[C@H]1O)C(=O)O,-6.7
C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O,-6.9
C=C(O[C@@H]1C(F)=C(C(=O)O)C=C[C@H]1O)C(=O)O,-7.0
O=C(O)c1ccc(/C=C/CO)c(=O)o1,-6.1
O=C(O)c1ccc(/C=C/CO)c(=O)o1,-6.1
C=C(OC1C=C(C(=O)O)C=CC1O)C(=O)O,-6.8
COC1C=C(C(=O)O)C=CC1O,-6.1
O=C(O)C1=C(C(=O)O)OC(C(=O)O)C=C1,-6.5
O=C=C1C=CC=CC1OC(=O)COC(=O)/C=C\C(=O)O,-7.0
O=C=C1C=CC=CC1OC(=O)COC(=O)/C=C/C(=O)O,-7.4
O=C(O)C1=C[C@@H](OC(C(=O)O)=C(F)F)[C@H](O)C=C1,-7.1
COC(=O)C1=CC(OC)C(O)C=C1,-5.9
CC(OC(=O)/C=C/C1=CCCC=C1)C(=O)O,-6.8
CC(OC(=O)C=CC1=CCCC=C1)C(=O)O,-6.8
O=C(O)C1=CC(C(=O)O)OC=C1,-6.2
C=C(OC1C=C(C(=O)O)C=CC1C)C(=O)O,-6.6
C=C(OC1C=C(C(=O)O)C=CC1)C(=O)O,-6.5
O=C(O)C(=O)O[C@H]1CC=CC(C(=O)O)C1=O,-6.2
C=CO[C@@H]1C=C(C(=O)O)C=C[C@H]1O,-6.3
O=C(O)C(=O)OC1CC=CC(C(=O)O)C1=O,-6.2
C=C(OC1C=C(C(=O)O)C(I)=CC1O)C(=O)O,-7.0
