minimizedAffinity,ID,SMILES
-5.82578,4,C[C@@H]1COc2c(N3CC[NH+](C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
-5.74064,8,O=C(O)c1cn(C2CC2)c2cc(N3CC[NH2+]CC3)c(F)cc2c1=O
-5.84987,9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CC[NH2+]CC3)cc21
-5.6338,17,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
-6.25058,26,CC[N@H+]1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
-5.64561,31,COc1c(N2CC[NH2+][C@H](C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
-6.07146,32,COc1c(N2C[C@@H]3CCC[NH2+][C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
-7.23639,38,CC1=C(C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
-6.89934,41,C[NH2+]CC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1
-7.90457,43,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
-5.06162,49,O=C1CC2(CCCC2)CC(=O)N1CCCC[NH+]1CCN(c2ncccn2)CC1
-7.91401,50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
-5.67249,55,NC(=[NH2+])c1ccc(OCCCCCOc2ccc(C(N)=[NH2+])cc2)cc1
-6.04892,61,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
-6.35126,65,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
-6.19413,67,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O
-6.36427,71,C[NH+](C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
-5.80966,80,C=CC[N@@H+]1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
-7.60819,81,O=C(c1ccc(OCC[NH+]2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
-6.4944,83,CC/C(=C(\c1ccccc1)c1ccc(OCC[NH+](C)C)cc1)c1ccccc1
-6.8339,84,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(C[NH+](C)C)c(O)ccc3nc2-1
-6.34535,99,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1
-6.08949,105,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1[NH2+][C@@H]12
-5.96213,107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
-8.57443,114,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2C[N@H+]1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1
-7.11469,115,CC(C)(C)NC(=O)[C@@H]1C[N@@H+](Cc2cccnc2)CC[N@H+]1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
-5.90942,116,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
-6.95005,158,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)[O-]
-6.92029,161,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1
-6.72915,163,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1
-6.50721,169,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12
-6.54789,176,[NH3+]C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]([NH3+])C[C@@H]2[NH3+])[C@H]([NH3+])[C@@H](O)[C@@H]1O
-6.48698,186,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1
-7.04264,192,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CC[NH+](C)CC4)ccc3OCC)nc12
-5.5383,193,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
-6.90961,407,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
-7.14089,415,C[NH+](C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
-7.25941,417,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H]([NH3+])[C@@H](O)[C@H](C)O1
-5.53329,422,C[NH+]1CC[NH+](CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
-7.27978,428,[NH3+][C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12
-8.43471,429,C[C@@H](CCc1ccccc1)[NH2+]C[C@@H](O)c1ccc(O)c(C(N)=O)c1
-6.00294,430,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C[C@@H]1C[NH3+]
-7.59888,442,C[N@@H+]1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
-6.56279,452,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
-6.5876,456,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
-7.76247,464,CCOC(=O)/C=C(\C)C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C
-7.06832,465,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
-6.38276,481,CCc1c2c(nc3ccc(OC(=O)N4CCC([NH+]5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
-6.99182,487,CC/C(=C(/c1ccc(OCC[NH+](C)C)cc1)c1cccc(O)c1)c1ccccc1
-6.68013,489,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCC[NH+](C)C)cc1)c1ccccc1
-6.07342,494,CC#CC[C@H](C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O
-7.34828,502,COc1cc2c(cc1OC)C(=O)[C@@H](CC1CC[NH+](Cc3ccccc3)CC1)C2
